Item,Cost,Start Date,End Date
Misty's Tears Naked Banned Card Gym Trainer Nintendo Japan,-1,2019-01-01,present 
Solid sterling silver chain necklace - mens necklace - 925 Silver,-1,2019-01-01,present 
Orient Men's 'Bambino Open Heart' Japanese Automatic Stainless Steel and Leather,-1,2019-01-01,present 
Olympus OM-D E-M10 Mark II Mirrorless Camera with 25mm F/1.7 - 14-42mm - Silver,-1,2019-01-01,present 
"Lenovo ThinkPad X1 Carbon Gen 9 14"" (256GB SSD, Intel Core i5 11th Gen, 16GB",-1,2019-01-01,present 
[FILM TESTED] Pentax Espio AF Zoom 35-70mm Full Macro Point & Shoot 35m,-1,2019-01-01,present 
"14"" Apple MacBook Pro M1 Pro 8c 14c 16GB RAM 512GB SSD 2021 Silver - APPLE CARE",-1,2019-01-01,present 
Pokemon Fan Club (Full Art) - 106/106 - XY Flashfire,-1,2019-01-01,present 
"Keystone - Cryptocurrency Hardware Wallet 100% air-gapped, 4-inch Touch Screen",-1,2019-01-01,present 
Pokemon Groudon EX 150/160 XY Primal Clash Full Art NM,-1,2019-01-01,present 
Oculus Link Virtual Reality Headset Cable - Black - USB C - New In Open Box,-1,2019-01-01,present 
Kodak Vision3 500T 100' roll - 35mm film - bulk film rolling,79.37,2020-01-01,2023-09-01
Kodak Vision3 500T 100' roll - 35mm film - bulk film rolling,74.75,2023-09-02,present
Kodak Vision3 250D 100' roll - 35mm film - bulk film rolling,86.98,2020-01-01,present
35mm Film Color Negative - 2 36exp rolls - Kodak Vision3 500T,10.5,2020-01-01,2022-11-01
35mm Film Color Negative - 2 36exp rolls - Kodak Vision3 500T,10.06,2022-11-02,2023-09-01
35mm Film Color Negative - 2 36exp rolls - Kodak Vision3 500T,9.3,2023-09-02,present
35mm Film Color Negative - 3 36exp rolls - Kodak Vision3 500T,15.75,2020-01-01,2022-11-01
35mm Film Color Negative - 3 36exp rolls - Kodak Vision3 500T,15.09,2022-11-02,2023-09-01
35mm Film Color Negative - 3 36exp rolls - Kodak Vision3 500T,13.95,2023-09-02,present
35mm Color Negative Film - 5 36exp rolls - Kodak Vision3 500T,26.25,2020-01-01,2022-11-01
35mm Color Negative Film - 5 36exp rolls - Kodak Vision3 500T,25.15,2022-11-02,2023-09-01
35mm Color Negative Film - 5 36exp rolls - Kodak Vision3 500T,23.25,2023-09-02,present
35mm Color Negative Film - 4 36exp rolls - Kodak Vision3 500T,21,2020-01-01,2022-11-01
35mm Color Negative Film - 4 36exp rolls - Kodak Vision3 500T,20.12,2022-11-02,2023-09-01
35mm Color Negative Film - 4 36exp rolls - Kodak Vision3 500T,18.6,2023-09-02,present
35mm Color Negative Film - 6 36exp rolls - Kodak Vision3 500T,31.5,2020-01-01,2022-11-01
35mm Color Negative Film - 6 36exp rolls - Kodak Vision3 500T,30.18,2022-11-02,2023-09-01
35mm Color Negative Film - 6 36exp rolls - Kodak Vision3 500T,27.9,2023-09-02,present
35mm Color Negative Film - 10 36exp rolls - Kodak Vision3 500T,52.5,2020-01-01,2022-11-01
35mm Color Negative Film - 10 36exp rolls - Kodak Vision3 500T,50.3,2022-11-02,2023-09-01
35mm Color Negative Film - 10 36exp rolls - Kodak Vision3 500T,46.5,2023-09-02,present
35mm Film Color Negative - 30 36exp rolls - Kodak Vision3 500T,157.5,2020-01-01,2022-11-01
35mm Film Color Negative - 30 36exp rolls - Kodak Vision3 500T,150.9,2022-11-02,2023-09-01
35mm Film Color Negative - 30 36exp rolls - Kodak Vision3 500T,139.5,2023-09-02,present
35mm Film Color Negative - 3 24exp rolls - Kodak Vision3 500T,11.01,2020-01-01,present
35mm Color Negative Film - 5 24exp rolls - Kodak Vision3 500T,18.35,2020-01-01,present
35mm Color Negative Film - 6 36exp rolls - Kodak Vision3 250D,32.22,2020-01-01,present
35mm Film Color Negative - 3 36exp rolls - Kodak Vision3 250D,16.11,2020-01-01,present
Kodak Vision3 50D 35mm Color Negative Film - 2 36 exposure rolls - 50ISO,9.5,2020-01-01,2023-12-01
Kodak Vision3 50D 35mm Color Negative Film - 5 36 exposure rolls - 50ISO,23.75,2020-01-01,2023-12-01
Kodak Vision3 50D 35mm Color Negative Film - 6 36 exposure rolls - 50ISO,28.5,2020-01-01,2023-12-01
35mm Color Negative Film 200 ISO - 3 36exp rolls - Kodak Vision3 200T,14.76,2020-01-01,present
35mm Color Negative Film 200 ISO - 5 36exp rolls - Kodak Vision3 200T,24.6,2020-01-01,present
35mm Color Negative Film 200 ISO - 10 36exp rolls - Kodak Vision3 200T,49.2,2020-01-01,present
Black and White Negative 35mm Film - Kodak Double X 35mm Film - 3x 36 exposures,11.85,2020-01-01,present
Black and White Negative 35mm FIlm - Kodak Double X 35mm Film - 3x 36 exposures,11.85,2020-01-01,present
"CUSTOM ORDER Vision3 500T film 6x 36exp 500T, 3x 36exp 250D, 3x 36exp 200T",58.77,2020-01-01,present
--,-1,2020-01-01,present
"CUSTOM ORDER 35mm Film - 3x 500T, 3x 250D, 3x Kodak XX",41.91,2020-01-01,present
CUSTOM ORDER Kodak Vision3 50D - 100 36 exposure rolls - 50ISO,491.56,2020-01-01,present
